Date,Open,High,Low,Close,Adj Close,Volume
2008-01-02,3.547300,3.547300,3.547300,3.547300,3.547300,0
2008-01-03,3.483050,3.483050,3.483050,3.483050,3.483050,0
2008-01-04,3.524040,3.524040,3.524040,3.524040,3.524040,0
2008-01-07,3.439010,3.439010,3.439010,3.439010,3.439010,0
2008-01-08,3.424210,3.424210,3.424210,3.424210,3.424210,0
2008-01-09,3.430100,3.430100,3.430100,3.430100,3.430100,0
2008-01-10,3.396950,3.396950,3.396950,3.396950,3.396950,0
2008-01-11,3.373210,3.373210,3.373210,3.373210,3.373210,0
2008-01-14,3.303730,3.303730,3.303730,3.303730,3.303730,0
2008-01-15,3.240080,3.240080,3.240080,3.240080,3.240080,0
2008-01-16,3.143900,3.143900,3.143900,3.143900,3.143900,0
2008-01-17,3.225470,3.225470,3.225470,3.225470,3.225470,0
2008-01-18,3.190220,3.190220,3.190220,3.190220,3.190220,0
2008-01-21,3.002550,3.002550,3.002550,3.002550,3.002550,0
2008-01-22,2.952280,2.952280,2.952280,2.952280,2.952280,0
2008-01-23,3.069270,3.069270,3.069270,3.069270,3.069270,0
2008-01-24,3.075760,3.075760,3.075760,3.075760,3.075760,0
2008-01-25,3.185020,3.185020,3.185020,3.185020,3.185020,0
2008-01-28,3.066540,3.066540,3.066540,3.066540,3.066540,0
2008-01-29,3.075340,3.075340,3.075340,3.075340,3.075340,0
2008-01-30,3.025770,3.025770,3.025770,3.025770,3.025770,0
2008-01-31,3.007360,3.007360,3.007360,3.007360,3.007360,0
2008-02-01,3.033440,3.033440,3.033440,3.033440,3.033440,0
2008-02-04,3.102930,3.102930,3.102930,3.102930,3.102930,0
2008-02-05,3.064080,3.064080,3.064080,3.064080,3.064080,0
2008-02-06,2.957140,2.957140,2.957140,2.957140,2.957140,0
2008-02-11,2.893930,2.893930,2.893930,2.893930,2.893930,0
2008-02-12,2.952020,2.952020,2.952020,2.952020,2.952020,0
2008-02-13,2.975460,2.975460,2.975460,2.975460,2.975460,0
2008-02-14,3.071930,3.071930,3.071930,3.071930,3.071930,0
2008-02-15,3.115160,3.115160,3.115160,3.115160,3.115160,0
2008-02-18,3.109720,3.109720,3.109720,3.109720,3.109720,0
2008-02-19,3.124440,3.124440,3.124440,3.124440,3.124440,0
2008-02-20,3.052860,3.052860,3.052860,3.052860,3.052860,0
2008-02-21,3.080940,3.080940,3.080940,3.080940,3.080940,0
2008-02-22,3.074710,3.074710,3.074710,3.074710,3.074710,0
2008-02-25,3.090960,3.090960,3.090960,3.090960,3.090960,0
2008-02-26,3.103900,3.103900,3.103900,3.103900,3.103900,0
2008-02-27,3.120610,3.120610,3.120610,3.120610,3.120610,0
2008-02-28,3.100210,3.100210,3.100210,3.100210,3.100210,0
2008-02-29,3.052270,3.052270,3.052270,3.052270,3.052270,0
2008-03-03,2.951910,2.951910,2.951910,2.951910,2.951910,0
2008-03-04,2.945000,2.945000,2.945000,2.945000,2.945000,0
2008-03-05,2.936010,2.936010,2.936010,2.936010,2.936010,0
2008-03-06,2.943150,2.943150,2.943150,2.943150,2.943150,0
2008-03-07,2.891260,2.891260,2.891260,2.891260,2.891260,0
2008-03-10,2.861370,2.861370,2.861370,2.861370,2.861370,0
2008-03-11,2.885760,2.885760,2.885760,2.885760,2.885760,0
2008-03-12,2.943080,2.943080,2.943080,2.943080,2.943080,0
2008-03-13,2.830130,2.830130,2.830130,2.830130,2.830130,0
2008-03-14,2.863730,2.863730,2.863730,2.863730,2.863730,0
2008-03-17,2.817220,2.817220,2.817220,2.817220,2.817220,0
2008-03-18,2.861950,2.861950,2.861950,2.861950,2.861950,0
2008-03-19,2.861650,2.861650,2.861650,2.861650,2.861650,0
2008-03-20,2.853260,2.853260,2.853260,2.853260,2.853260,0
2008-03-24,2.956480,2.956480,2.956480,2.956480,2.956480,0
2008-03-25,3.029160,3.029160,3.029160,3.029160,3.029160,0
2008-03-26,3.024150,3.024150,3.024150,3.024150,3.024150,0
2008-03-27,3.054190,3.054190,3.054190,3.054190,3.054190,0
2008-03-28,3.060810,3.060810,3.060810,3.060810,3.060810,0
2008-03-31,3.036100,3.036100,3.036100,3.036100,3.036100,0
2008-04-01,3.075460,3.075460,3.075460,3.075460,3.075460,0
2008-04-02,3.153810,3.153810,3.153810,3.153810,3.153810,0
2008-04-03,3.200900,3.200900,3.200900,3.200900,3.200900,0
2008-04-04,3.185290,3.185290,3.185290,3.185290,3.185290,0
2008-04-07,3.214600,3.214600,3.214600,3.214600,3.214600,0
2008-04-08,3.162850,3.162850,3.162850,3.162850,3.162850,0
2008-04-09,3.122010,3.122010,3.122010,3.122010,3.122010,0
2008-04-10,3.096770,3.096770,3.096770,3.096770,3.096770,0
2008-04-11,3.159240,3.159240,3.159240,3.159240,3.159240,0
2008-04-14,3.074940,3.074940,3.074940,3.074940,3.074940,0
2008-04-15,3.088930,3.088930,3.088930,3.088930,3.088930,0
2008-04-16,3.120010,3.120010,3.120010,3.120010,3.120010,0
2008-04-17,3.158940,3.158940,3.158940,3.158940,3.158940,0
2008-04-18,3.158410,3.158410,3.158410,3.158410,3.158410,0
2008-04-21,3.205160,3.205160,3.205160,3.205160,3.205160,0
2008-04-22,3.221370,3.221370,3.221370,3.221370,3.221370,0
2008-04-23,3.228370,3.228370,3.228370,3.228370,3.228370,0
2008-04-24,3.212040,3.212040,3.212040,3.212040,3.212040,0
2008-04-25,3.223800,3.223800,3.223800,3.223800,3.223800,0
2008-04-28,3.237170,3.237170,3.237170,3.237170,3.237170,0
2008-04-29,3.220200,3.220200,3.220200,3.220200,3.220200,0
2008-04-30,3.200000,3.200000,3.200000,3.200000,3.200000,0
2008-05-02,3.290000,3.290000,3.290000,3.290000,3.290000,0
2008-05-05,3.300000,3.300000,3.300000,3.300000,3.300000,0
